,loopless
EX_gln__L_e,0.0
EX_galctn__D_e,0.0
EX_c140_e,0.0
EX_15dap_e,0.0
EX_3hbenzot_e,0.0
EX_glycolate_e,0.0
EX_acac_e,0.0
EX_fum_e,0.0
EX_met__D_e,0.0
EX_ac_e,0.0
EX_c180_e,0.0
EX_imal_e,0.0
EX_dc_e,0.0
EX_rmn_e,0.0
EX_cytd_e,0.0
EX_lac__L_e,0.0
EX_crn_e,0.0
EX_thiamin_e,0.0
EX_2hba_e,0.0
EX_fe2_e,-8.84862047253474e-05
EX_BIOMASS_c,0.39858650777183513
EX_phe__L_e,0.0
EX_2pg_e,0.0
EX_val__L_e,0.0
EX_thymd_e,0.0
EX_ala__L_e,0.0
EX_3hcinnm_e,0.0
EX_mg2_e,0.0
EX_idon_e,0.0
EX_gbbtn_e,0.0
EX_cit_e,0.0
EX_da_e,0.0
EX_catech_e,0.0
EX_adn_e,0.0
EX_glu__L_e,0.0
EX_benzot_e,0.0
EX_gly__L_e,0.0
EX_pi_e,-11.15862459246138
EX_gsn_e,0.0
EX_phenol_e,0.0
EX_tsul_e,0.0
EX_cobalt2_e,0.0
EX_tartr_e,0.0
EX_maltpt_e,0.0
EX_cys__L_e,0.0
EX_pyr_e,0.0
EX_du_e,0.0
EX_icit_e,0.0
EX_gn_e,0.0
EX_naga_e,0.0
EX_sprmd_e,0.0
EX_ct_e,0.0
EX_cl_e,0.0
EX_adip_e,0.0
EX_urocan_e,0.0
EX_mlt_e,0.0
EX_gam_e,0.0
EX_k_e,0.0
EX_mclact_e,0.0
EX_pbhb_e,0.0
EX_galt_e,0.0
EX_asp__L_e,0.0
EX_mlthx_e,0.0
EX_dg_e,0.0
EX_cbl1_e,0.0
EX_met__L_e,0.0
EX_fe3_e,0.0
EX_cynt_e,0.0
EX_uri_e,0.0
EX_succ_e,0.0
EX_4hbt_e,0.0
EX_dgluc_e,0.0
EX_sot_e,0.0
EX_acal_e,0.0
EX_tre_e,0.0
EX_gensa_e,0.0
EX_no2_e,0.0
EX_urea_e,0.0
EX_ad_e,0.0
EX_meli_e,0.0
EX_ascb_e,0.0
EX_ura_e,0.0
EX_asn__L_e,0.0
EX_his__L_e,0.0
EX_g6p_e,0.0
EX_1boh_e,0.0
EX_ins_e,0.0
EX_pppn_e,0.0
EX_dala_e,0.0
EX_din_e,0.0
EX_nadma_e,0.0
EX_butn_e,0.0
EX_mlttr_e,0.0
EX_12ppd__S_e,0.0
EX_obut_e,0.0
EX_so4_e,-0.08099676424431465
EX_nac_e,0.0
EX_ile__L_e,0.0
EX_glyc3p_e,0.0
EX_orn_e,0.0
EX_tolen_e,0.0
EX_arg__L_e,0.0
EX_3hpppn_e,0.0
EX_naneu_e,0.0
EX_aso3_e,0.0
EX_thr__L_e,0.0
EX_fru_e,0.0
EX_fuc_e,0.0
EX_rib_e,0.0
EX_gl_e,0.0
EX_ccmuc_e,0.0
EX_aobzac_e,0.0
EX_dgal_e,0.0
EX_3pg_e,0.0
EX_nmn_e,0.0
