raw,val,sensor,date,time,type,delta_c,gas_idx,exp_id,block,mu,channel,flow_rate [ml/min],flow [ml/min],strain,condition,c_Frc [g/l],c_NH4Cl [g/l]
134,127,1,2019-07-21,2019-07-21 11:55:01,CO2,127,0,1,1,0.05,1,80,0.0254,PHB+,fructose,0.5,1
115,110,3,2019-07-21,2019-07-21 11:55:01,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
63,68,2,2019-07-21,2019-07-21 11:55:01,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
96,98,4,2019-07-21,2019-07-21 11:55:01,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 11:55:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
136,135,1,2019-07-21,2019-07-21 11:56:01,CO2,135,0,1,1,0.05,1,80,0.027,PHB+,fructose,0.5,1
113,110,3,2019-07-21,2019-07-21 11:56:01,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
64,70,2,2019-07-21,2019-07-21 11:56:01,CO2,70,0,1,1,0.05,2,80,0.014,PHB+,fructose,0.5,1
97,97,4,2019-07-21,2019-07-21 11:56:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 11:56:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
138,133,1,2019-07-21,2019-07-21 11:57:01,CO2,133,0,1,1,0.05,1,80,0.0266,PHB+,fructose,0.5,1
111,105,3,2019-07-21,2019-07-21 11:57:01,CO2,105,0,1,1,0.05,3,80,0.021,PHB-,fructose,0.5,1
62,65,2,2019-07-21,2019-07-21 11:57:01,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
95,95,4,2019-07-21,2019-07-21 11:57:02,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 11:57:02,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
135,135,1,2019-07-21,2019-07-21 11:58:01,CO2,135,0,1,1,0.05,1,80,0.027,PHB+,fructose,0.5,1
114,112,3,2019-07-21,2019-07-21 11:58:01,CO2,112,0,1,1,0.05,3,80,0.0224,PHB-,fructose,0.5,1
62,63,2,2019-07-21,2019-07-21 11:58:01,CO2,63,0,1,1,0.05,2,80,0.0126,PHB+,fructose,0.5,1
97,91,4,2019-07-21,2019-07-21 11:58:01,CO2,91,0,1,1,0.05,4,80,0.0182,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 11:58:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
133,126,1,2019-07-21,2019-07-21 11:59:01,CO2,126,0,1,1,0.05,1,80,0.0252,PHB+,fructose,0.5,1
111,113,3,2019-07-21,2019-07-21 11:59:01,CO2,113,0,1,1,0.05,3,80,0.0226,PHB-,fructose,0.5,1
63,58,2,2019-07-21,2019-07-21 11:59:01,CO2,58,0,1,1,0.05,2,80,0.0116,PHB+,fructose,0.5,1
97,96,4,2019-07-21,2019-07-21 11:59:01,CO2,96,0,1,1,0.05,4,80,0.0192,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 11:59:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
138,149,1,2019-07-21,2019-07-21 12:00:01,CO2,149,0,1,1,0.05,1,80,0.0298,PHB+,fructose,0.5,1
114,116,3,2019-07-21,2019-07-21 12:00:02,CO2,116,0,1,1,0.05,3,80,0.0232,PHB-,fructose,0.5,1
64,61,2,2019-07-21,2019-07-21 12:00:02,CO2,61,0,1,1,0.05,2,80,0.0122,PHB+,fructose,0.5,1
97,94,4,2019-07-21,2019-07-21 12:00:02,CO2,94,0,1,1,0.05,4,80,0.0188,PHB-,fructose,0.5,1
20890,19570,1,2019-07-21,2019-07-21 12:00:02,O2,-123.5,0,1,1,0.05,1,80,-0.0247,PHB+,fructose,0.5,1
131,128,1,2019-07-21,2019-07-21 12:01:01,CO2,128,0,1,1,0.05,1,80,0.0256,PHB+,fructose,0.5,1
113,112,3,2019-07-21,2019-07-21 12:01:01,CO2,112,0,1,1,0.05,3,80,0.0224,PHB-,fructose,0.5,1
63,64,2,2019-07-21,2019-07-21 12:01:01,CO2,64,0,1,1,0.05,2,80,0.0128,PHB+,fructose,0.5,1
93,96,4,2019-07-21,2019-07-21 12:01:01,CO2,96,0,1,1,0.05,4,80,0.0192,PHB-,fructose,0.5,1
20890,19570,1,2019-07-21,2019-07-21 12:01:01,O2,-123.5,0,1,1,0.05,1,80,-0.0247,PHB+,fructose,0.5,1
135,133,1,2019-07-21,2019-07-21 12:02:01,CO2,133,0,1,1,0.05,1,80,0.0266,PHB+,fructose,0.5,1
112,119,3,2019-07-21,2019-07-21 12:02:01,CO2,119,0,1,1,0.05,3,80,0.0238,PHB-,fructose,0.5,1
65,66,2,2019-07-21,2019-07-21 12:02:01,CO2,66,0,1,1,0.05,2,80,0.0132,PHB+,fructose,0.5,1
98,97,4,2019-07-21,2019-07-21 12:02:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 12:02:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
137,134,1,2019-07-21,2019-07-21 12:03:01,CO2,134,0,1,1,0.05,1,80,0.0268,PHB+,fructose,0.5,1
111,108,3,2019-07-21,2019-07-21 12:03:02,CO2,108,0,1,1,0.05,3,80,0.0216,PHB-,fructose,0.5,1
63,60,2,2019-07-21,2019-07-21 12:03:02,CO2,60,0,1,1,0.05,2,80,0.012,PHB+,fructose,0.5,1
97,99,4,2019-07-21,2019-07-21 12:03:02,CO2,99,0,1,1,0.05,4,80,0.0198,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 12:03:02,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
138,129,1,2019-07-21,2019-07-21 12:04:01,CO2,129,0,1,1,0.05,1,80,0.0258,PHB+,fructose,0.5,1
114,119,3,2019-07-21,2019-07-21 12:04:01,CO2,119,0,1,1,0.05,3,80,0.0238,PHB-,fructose,0.5,1
63,62,2,2019-07-21,2019-07-21 12:04:01,CO2,62,0,1,1,0.05,2,80,0.0124,PHB+,fructose,0.5,1
97,100,4,2019-07-21,2019-07-21 12:04:01,CO2,100,0,1,1,0.05,4,80,0.02,PHB-,fructose,0.5,1
20880,19560,1,2019-07-21,2019-07-21 12:04:01,O2,-133.5,0,1,1,0.05,1,80,-0.0267,PHB+,fructose,0.5,1
135,154,1,2019-07-21,2019-07-21 12:05:01,CO2,154,0,1,1,0.05,1,80,0.0308,PHB+,fructose,0.5,1
114,120,3,2019-07-21,2019-07-21 12:05:01,CO2,120,0,1,1,0.05,3,80,0.024,PHB-,fructose,0.5,1
65,63,2,2019-07-21,2019-07-21 12:05:01,CO2,63,0,1,1,0.05,2,80,0.0126,PHB+,fructose,0.5,1
96,95,4,2019-07-21,2019-07-21 12:05:01,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
20870,19550,1,2019-07-21,2019-07-21 12:05:01,O2,-143.5,0,1,1,0.05,1,80,-0.0287,PHB+,fructose,0.5,1
135,127,1,2019-07-21,2019-07-21 12:06:02,CO2,127,0,1,1,0.05,1,80,0.0254,PHB+,fructose,0.5,1
114,108,3,2019-07-21,2019-07-21 12:06:02,CO2,108,0,1,1,0.05,3,80,0.0216,PHB-,fructose,0.5,1
65,70,2,2019-07-21,2019-07-21 12:06:02,CO2,70,0,1,1,0.05,2,80,0.014,PHB+,fructose,0.5,1
97,93,4,2019-07-21,2019-07-21 12:06:02,CO2,93,0,1,1,0.05,4,80,0.0186,PHB-,fructose,0.5,1
20870,19550,1,2019-07-21,2019-07-21 12:06:02,O2,-143.5,0,1,1,0.05,1,80,-0.0287,PHB+,fructose,0.5,1
136,131,1,2019-07-21,2019-07-21 12:07:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
115,105,3,2019-07-21,2019-07-21 12:07:01,CO2,105,0,1,1,0.05,3,80,0.021,PHB-,fructose,0.5,1
64,68,2,2019-07-21,2019-07-21 12:07:01,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
97,97,4,2019-07-21,2019-07-21 12:07:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20870,19550,1,2019-07-21,2019-07-21 12:07:01,O2,-143.5,0,1,1,0.05,1,80,-0.0287,PHB+,fructose,0.5,1
132,134,1,2019-07-21,2019-07-21 12:08:01,CO2,134,0,1,1,0.05,1,80,0.0268,PHB+,fructose,0.5,1
112,109,3,2019-07-21,2019-07-21 12:08:01,CO2,109,0,1,1,0.05,3,80,0.0218,PHB-,fructose,0.5,1
63,65,2,2019-07-21,2019-07-21 12:08:01,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
97,91,4,2019-07-21,2019-07-21 12:08:02,CO2,91,0,1,1,0.05,4,80,0.0182,PHB-,fructose,0.5,1
20870,19550,1,2019-07-21,2019-07-21 12:08:02,O2,-143.5,0,1,1,0.05,1,80,-0.0287,PHB+,fructose,0.5,1
133,127,1,2019-07-21,2019-07-21 12:09:01,CO2,127,0,1,1,0.05,1,80,0.0254,PHB+,fructose,0.5,1
113,110,3,2019-07-21,2019-07-21 12:09:01,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
65,66,2,2019-07-21,2019-07-21 12:09:01,CO2,66,0,1,1,0.05,2,80,0.0132,PHB+,fructose,0.5,1
97,94,4,2019-07-21,2019-07-21 12:09:01,CO2,94,0,1,1,0.05,4,80,0.0188,PHB-,fructose,0.5,1
20870,19550,1,2019-07-21,2019-07-21 12:09:01,O2,-143.5,0,1,1,0.05,1,80,-0.0287,PHB+,fructose,0.5,1
133,123,1,2019-07-21,2019-07-21 12:10:01,CO2,123,0,1,1,0.05,1,80,0.0246,PHB+,fructose,0.5,1
114,120,3,2019-07-21,2019-07-21 12:10:01,CO2,120,0,1,1,0.05,3,80,0.024,PHB-,fructose,0.5,1
65,65,2,2019-07-21,2019-07-21 12:10:01,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
96,98,4,2019-07-21,2019-07-21 12:10:01,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
131,139,1,2019-07-21,2019-07-21 12:11:01,CO2,139,0,1,1,0.05,1,80,0.0278,PHB+,fructose,0.5,1
113,110,3,2019-07-21,2019-07-21 12:11:01,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
63,67,2,2019-07-21,2019-07-21 12:11:02,CO2,67,0,1,1,0.05,2,80,0.0134,PHB+,fructose,0.5,1
94,98,4,2019-07-21,2019-07-21 12:11:02,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
134,127,1,2019-07-21,2019-07-21 12:12:01,CO2,127,0,1,1,0.05,1,80,0.0254,PHB+,fructose,0.5,1
112,115,3,2019-07-21,2019-07-21 12:12:01,CO2,115,0,1,1,0.05,3,80,0.023,PHB-,fructose,0.5,1
64,63,2,2019-07-21,2019-07-21 12:12:01,CO2,63,0,1,1,0.05,2,80,0.0126,PHB+,fructose,0.5,1
95,95,4,2019-07-21,2019-07-21 12:12:01,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
133,128,1,2019-07-21,2019-07-21 12:13:01,CO2,128,0,1,1,0.05,1,80,0.0256,PHB+,fructose,0.5,1
114,117,3,2019-07-21,2019-07-21 12:13:01,CO2,117,0,1,1,0.05,3,80,0.0234,PHB-,fructose,0.5,1
63,69,2,2019-07-21,2019-07-21 12:13:01,CO2,69,0,1,1,0.05,2,80,0.0138,PHB+,fructose,0.5,1
95,89,4,2019-07-21,2019-07-21 12:13:01,CO2,89,0,1,1,0.05,4,80,0.0178,PHB-,fructose,0.5,1
133,138,1,2019-07-21,2019-07-21 12:14:02,CO2,138,0,1,1,0.05,1,80,0.0276,PHB+,fructose,0.5,1
113,118,3,2019-07-21,2019-07-21 12:14:02,CO2,118,0,1,1,0.05,3,80,0.0236,PHB-,fructose,0.5,1
63,55,2,2019-07-21,2019-07-21 12:14:02,CO2,55,0,1,1,0.05,2,80,0.011,PHB+,fructose,0.5,1
95,95,4,2019-07-21,2019-07-21 12:14:02,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
131,133,1,2019-07-21,2019-07-21 12:15:01,CO2,133,0,1,1,0.05,1,80,0.0266,PHB+,fructose,0.5,1
112,114,3,2019-07-21,2019-07-21 12:15:01,CO2,114,0,1,1,0.05,3,80,0.0228,PHB-,fructose,0.5,1
66,68,2,2019-07-21,2019-07-21 12:15:01,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
96,97,4,2019-07-21,2019-07-21 12:15:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20910,19590,1,2019-07-21,2019-07-21 12:15:01,O2,-103.5,1,1,1,0.05,2,80,-0.0207,PHB+,fructose,0.5,1
133,143,1,2019-07-21,2019-07-21 12:16:01,CO2,143,0,1,1,0.05,1,80,0.0286,PHB+,fructose,0.5,1
112,108,3,2019-07-21,2019-07-21 12:16:01,CO2,108,0,1,1,0.05,3,80,0.0216,PHB-,fructose,0.5,1
63,62,2,2019-07-21,2019-07-21 12:16:02,CO2,62,0,1,1,0.05,2,80,0.0124,PHB+,fructose,0.5,1
92,97,4,2019-07-21,2019-07-21 12:16:02,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20910,19590,1,2019-07-21,2019-07-21 12:16:02,O2,-103.5,1,1,1,0.05,2,80,-0.0207,PHB+,fructose,0.5,1
130,131,1,2019-07-21,2019-07-21 12:17:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
112,110,3,2019-07-21,2019-07-21 12:17:01,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
65,60,2,2019-07-21,2019-07-21 12:17:01,CO2,60,0,1,1,0.05,2,80,0.012,PHB+,fructose,0.5,1
95,93,4,2019-07-21,2019-07-21 12:17:01,CO2,93,0,1,1,0.05,4,80,0.0186,PHB-,fructose,0.5,1
20910,19590,1,2019-07-21,2019-07-21 12:17:01,O2,-103.5,1,1,1,0.05,2,80,-0.0207,PHB+,fructose,0.5,1
132,129,1,2019-07-21,2019-07-21 12:18:01,CO2,129,0,1,1,0.05,1,80,0.0258,PHB+,fructose,0.5,1
110,110,3,2019-07-21,2019-07-21 12:18:02,CO2,110,0,1,1,0.05,3,80,0.022,PHB-,fructose,0.5,1
67,68,2,2019-07-21,2019-07-21 12:18:02,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
96,97,4,2019-07-21,2019-07-21 12:18:02,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20910,19590,1,2019-07-21,2019-07-21 12:18:02,O2,-103.5,1,1,1,0.05,2,80,-0.0207,PHB+,fructose,0.5,1
131,123,1,2019-07-21,2019-07-21 12:19:01,CO2,123,0,1,1,0.05,1,80,0.0246,PHB+,fructose,0.5,1
114,114,3,2019-07-21,2019-07-21 12:19:01,CO2,114,0,1,1,0.05,3,80,0.0228,PHB-,fructose,0.5,1
67,72,2,2019-07-21,2019-07-21 12:19:01,CO2,72,0,1,1,0.05,2,80,0.0144,PHB+,fructose,0.5,1
96,92,4,2019-07-21,2019-07-21 12:19:01,CO2,92,0,1,1,0.05,4,80,0.0184,PHB-,fructose,0.5,1
20920,19600,1,2019-07-21,2019-07-21 12:19:01,O2,-93.5,1,1,1,0.05,2,80,-0.0187,PHB+,fructose,0.5,1
131,131,1,2019-07-21,2019-07-21 12:20:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
115,118,3,2019-07-21,2019-07-21 12:20:01,CO2,118,0,1,1,0.05,3,80,0.0236,PHB-,fructose,0.5,1
67,66,2,2019-07-21,2019-07-21 12:20:01,CO2,66,0,1,1,0.05,2,80,0.0132,PHB+,fructose,0.5,1
96,96,4,2019-07-21,2019-07-21 12:20:01,CO2,96,0,1,1,0.05,4,80,0.0192,PHB-,fructose,0.5,1
20920,19600,1,2019-07-21,2019-07-21 12:20:01,O2,-93.5,1,1,1,0.05,2,80,-0.0187,PHB+,fructose,0.5,1
131,136,1,2019-07-21,2019-07-21 12:21:02,CO2,136,0,1,1,0.05,1,80,0.0272,PHB+,fructose,0.5,1
114,114,3,2019-07-21,2019-07-21 12:21:02,CO2,114,0,1,1,0.05,3,80,0.0228,PHB-,fructose,0.5,1
63,62,2,2019-07-21,2019-07-21 12:21:02,CO2,62,0,1,1,0.05,2,80,0.0124,PHB+,fructose,0.5,1
95,100,4,2019-07-21,2019-07-21 12:21:02,CO2,100,0,1,1,0.05,4,80,0.02,PHB-,fructose,0.5,1
20930,19610,1,2019-07-21,2019-07-21 12:21:02,O2,-83.5,1,1,1,0.05,2,80,-0.0167,PHB+,fructose,0.5,1
131,131,1,2019-07-21,2019-07-21 12:22:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
112,116,3,2019-07-21,2019-07-21 12:22:01,CO2,116,0,1,1,0.05,3,80,0.0232,PHB-,fructose,0.5,1
65,68,2,2019-07-21,2019-07-21 12:22:01,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
95,97,4,2019-07-21,2019-07-21 12:22:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20930,19610,1,2019-07-21,2019-07-21 12:22:01,O2,-83.5,1,1,1,0.05,2,80,-0.0167,PHB+,fructose,0.5,1
135,142,1,2019-07-21,2019-07-21 12:23:01,CO2,142,0,1,1,0.05,1,80,0.0284,PHB+,fructose,0.5,1
114,118,3,2019-07-21,2019-07-21 12:23:01,CO2,118,0,1,1,0.05,3,80,0.0236,PHB-,fructose,0.5,1
66,69,2,2019-07-21,2019-07-21 12:23:01,CO2,69,0,1,1,0.05,2,80,0.0138,PHB+,fructose,0.5,1
94,98,4,2019-07-21,2019-07-21 12:23:01,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
20940,19620,1,2019-07-21,2019-07-21 12:23:02,O2,-73.5,1,1,1,0.05,2,80,-0.0147,PHB+,fructose,0.5,1
132,131,1,2019-07-21,2019-07-21 12:24:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
113,108,3,2019-07-21,2019-07-21 12:24:01,CO2,108,0,1,1,0.05,3,80,0.0216,PHB-,fructose,0.5,1
65,70,2,2019-07-21,2019-07-21 12:24:01,CO2,70,0,1,1,0.05,2,80,0.014,PHB+,fructose,0.5,1
94,87,4,2019-07-21,2019-07-21 12:24:01,CO2,87,0,1,1,0.05,4,80,0.0174,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:24:01,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
129,127,1,2019-07-21,2019-07-21 12:25:01,CO2,127,0,1,1,0.05,1,80,0.0254,PHB+,fructose,0.5,1
112,100,3,2019-07-21,2019-07-21 12:25:01,CO2,100,0,1,1,0.05,3,80,0.02,PHB-,fructose,0.5,1
67,72,2,2019-07-21,2019-07-21 12:25:01,CO2,72,0,1,1,0.05,2,80,0.0144,PHB+,fructose,0.5,1
93,88,4,2019-07-21,2019-07-21 12:25:01,CO2,88,0,1,1,0.05,4,80,0.0176,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:25:01,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
131,137,1,2019-07-21,2019-07-21 12:26:01,CO2,137,0,1,1,0.05,1,80,0.0274,PHB+,fructose,0.5,1
113,116,3,2019-07-21,2019-07-21 12:26:01,CO2,116,0,1,1,0.05,3,80,0.0232,PHB-,fructose,0.5,1
65,66,2,2019-07-21,2019-07-21 12:26:02,CO2,66,0,1,1,0.05,2,80,0.0132,PHB+,fructose,0.5,1
95,98,4,2019-07-21,2019-07-21 12:26:02,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:26:02,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
130,135,1,2019-07-21,2019-07-21 12:27:01,CO2,135,0,1,1,0.05,1,80,0.027,PHB+,fructose,0.5,1
113,114,3,2019-07-21,2019-07-21 12:27:01,CO2,114,0,1,1,0.05,3,80,0.0228,PHB-,fructose,0.5,1
65,62,2,2019-07-21,2019-07-21 12:27:01,CO2,62,0,1,1,0.05,2,80,0.0124,PHB+,fructose,0.5,1
95,91,4,2019-07-21,2019-07-21 12:27:01,CO2,91,0,1,1,0.05,4,80,0.0182,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:27:01,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
127,131,1,2019-07-21,2019-07-21 12:28:01,CO2,131,0,1,1,0.05,1,80,0.0262,PHB+,fructose,0.5,1
113,105,3,2019-07-21,2019-07-21 12:28:01,CO2,105,0,1,1,0.05,3,80,0.021,PHB-,fructose,0.5,1
63,56,2,2019-07-21,2019-07-21 12:28:01,CO2,56,0,1,1,0.05,2,80,0.0112,PHB+,fructose,0.5,1
93,93,4,2019-07-21,2019-07-21 12:28:01,CO2,93,0,1,1,0.05,4,80,0.0186,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:28:01,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
131,137,1,2019-07-21,2019-07-21 12:29:01,CO2,137,0,1,1,0.05,1,80,0.0274,PHB+,fructose,0.5,1
110,106,3,2019-07-21,2019-07-21 12:29:02,CO2,106,0,1,1,0.05,3,80,0.0212,PHB-,fructose,0.5,1
65,65,2,2019-07-21,2019-07-21 12:29:02,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
94,95,4,2019-07-21,2019-07-21 12:29:02,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
20950,19630,1,2019-07-21,2019-07-21 12:29:02,O2,-63.5,1,1,1,0.05,2,80,-0.0127,PHB+,fructose,0.5,1
131,126,1,2019-07-21,2019-07-21 12:30:01,CO2,126,0,1,1,0.05,1,80,0.0252,PHB+,fructose,0.5,1
113,107,3,2019-07-21,2019-07-21 12:30:01,CO2,107,0,1,1,0.05,3,80,0.0214,PHB-,fructose,0.5,1
65,67,2,2019-07-21,2019-07-21 12:30:01,CO2,67,0,1,1,0.05,2,80,0.0134,PHB+,fructose,0.5,1
91,100,4,2019-07-21,2019-07-21 12:30:01,CO2,100,0,1,1,0.05,4,80,0.02,PHB-,fructose,0.5,1
130,129,1,2019-07-21,2019-07-21 12:31:01,CO2,129,0,1,1,0.05,1,80,0.0258,PHB+,fructose,0.5,1
108,112,3,2019-07-21,2019-07-21 12:31:01,CO2,112,0,1,1,0.05,3,80,0.0224,PHB-,fructose,0.5,1
65,65,2,2019-07-21,2019-07-21 12:31:02,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
93,93,4,2019-07-21,2019-07-21 12:31:02,CO2,93,0,1,1,0.05,4,80,0.0186,PHB-,fructose,0.5,1
129,128,1,2019-07-21,2019-07-21 12:32:01,CO2,128,0,1,1,0.05,1,80,0.0256,PHB+,fructose,0.5,1
108,107,3,2019-07-21,2019-07-21 12:32:01,CO2,107,0,1,1,0.05,3,80,0.0214,PHB-,fructose,0.5,1
67,65,2,2019-07-21,2019-07-21 12:32:01,CO2,65,0,1,1,0.05,2,80,0.013,PHB+,fructose,0.5,1
94,95,4,2019-07-21,2019-07-21 12:32:01,CO2,95,0,1,1,0.05,4,80,0.019,PHB-,fructose,0.5,1
132,133,1,2019-07-21,2019-07-21 12:33:02,CO2,133,0,1,1,0.05,1,80,0.0266,PHB+,fructose,0.5,1
114,118,3,2019-07-21,2019-07-21 12:33:02,CO2,118,0,1,1,0.05,3,80,0.0236,PHB-,fructose,0.5,1
67,60,2,2019-07-21,2019-07-21 12:33:02,CO2,60,0,1,1,0.05,2,80,0.012,PHB+,fructose,0.5,1
95,98,4,2019-07-21,2019-07-21 12:33:02,CO2,98,0,1,1,0.05,4,80,0.0196,PHB-,fructose,0.5,1
130,139,1,2019-07-21,2019-07-21 12:34:01,CO2,139,0,1,1,0.05,1,80,0.0278,PHB+,fructose,0.5,1
111,113,3,2019-07-21,2019-07-21 12:34:01,CO2,113,0,1,1,0.05,3,80,0.0226,PHB-,fructose,0.5,1
67,70,2,2019-07-21,2019-07-21 12:34:01,CO2,70,0,1,1,0.05,2,80,0.014,PHB+,fructose,0.5,1
95,90,4,2019-07-21,2019-07-21 12:34:01,CO2,90,0,1,1,0.05,4,80,0.018,PHB-,fructose,0.5,1
131,119,1,2019-07-21,2019-07-21 12:35:01,CO2,119,0,1,1,0.05,1,80,0.0238,PHB+,fructose,0.5,1
113,114,3,2019-07-21,2019-07-21 12:35:01,CO2,114,0,1,1,0.05,3,80,0.0228,PHB-,fructose,0.5,1
66,63,2,2019-07-21,2019-07-21 12:35:01,CO2,63,0,1,1,0.05,2,80,0.0126,PHB+,fructose,0.5,1
95,89,4,2019-07-21,2019-07-21 12:35:02,CO2,89,0,1,1,0.05,4,80,0.0178,PHB-,fructose,0.5,1
20910,19590,1,2019-07-21,2019-07-21 12:35:02,O2,-103.5,2,1,1,0.05,3,80,-0.0207,PHB-,fructose,0.5,1
134,130,1,2019-07-21,2019-07-21 12:36:01,CO2,130,0,1,1,0.05,1,80,0.026,PHB+,fructose,0.5,1
110,103,3,2019-07-21,2019-07-21 12:36:01,CO2,103,0,1,1,0.05,3,80,0.0206,PHB-,fructose,0.5,1
65,68,2,2019-07-21,2019-07-21 12:36:01,CO2,68,0,1,1,0.05,2,80,0.0136,PHB+,fructose,0.5,1
93,97,4,2019-07-21,2019-07-21 12:36:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20900,19580,1,2019-07-21,2019-07-21 12:36:01,O2,-113.5,2,1,1,0.05,3,80,-0.0227,PHB-,fructose,0.5,1
133,128,1,2019-07-21,2019-07-21 12:37:01,CO2,128,0,1,1,0.05,1,80,0.0256,PHB+,fructose,0.5,1
112,111,3,2019-07-21,2019-07-21 12:37:01,CO2,111,0,1,1,0.05,3,80,0.0222,PHB-,fructose,0.5,1
65,62,2,2019-07-21,2019-07-21 12:37:01,CO2,62,0,1,1,0.05,2,80,0.0124,PHB+,fructose,0.5,1
95,97,4,2019-07-21,2019-07-21 12:37:01,CO2,97,0,1,1,0.05,4,80,0.0194,PHB-,fructose,0.5,1
20900,19580,1,2019-07-21,2019-07-21 12:37:01,O2,-113.5,2,1,1,0.05,3,80,-0.0227,PHB-,fructose,0.5,1
131,123,1,2019-07-21,2019-07-21 12:38:01,CO2,123,0,1,1,0.05,1,80,0.0246,PHB+,fructose,0.5,1
114,107,3,2019-07-21,2019-07-21 12:38:02,CO2,107,0,1,1,0.05,3,80,0.0214,PHB-,fructose,0.5,1
65,71,2,2019-07-21,2019-07-21 12:38:02,CO2,71,0,1,1,0.05,2,80,0.0142,PHB+,fructose,0.5,1
